Node Type,Node,Serial Number,Node Interface,Peer Type,Peer Node,Peer Serial Number,Peer Interface,Node Interface Enabled
l3leaf,DC1-LEAF2B,,Ethernet1,server,DC1-HOST2,,Ethernet2,True
l3leaf,DC1-LEAF2B,,Ethernet49/1,mlag_peer,DC1-LEAF2A,,Ethernet49/1,True
l3leaf,DC1-LEAF2B,,Ethernet50/1,mlag_peer,DC1-LEAF2A,,Ethernet50/1,True
l3leaf,DC1-LEAF2B,,Ethernet51/1,spine,DC1-SPINE1,,Ethernet4/1,True
l3leaf,DC1-LEAF2B,,Ethernet52/1,spine,DC1-SPINE2,,Ethernet4/1,True
l3leaf,DC1-LEAF2B,,Ethernet53/1,spine,DC1-SPINE3,,Ethernet4/1,True
l3leaf,DC1-LEAF3A,,Ethernet49/1,mlag_peer,DC1-LEAF3B,,Ethernet49/1,True
l3leaf,DC1-LEAF3A,,Ethernet50/1,mlag_peer,DC1-LEAF3B,,Ethernet50/1,True
l3leaf,DC1-LEAF3A,,Ethernet51/1,spine,DC1-SPINE1,,Ethernet5/1,True
l3leaf,DC1-LEAF3A,,Ethernet52/1,spine,DC1-SPINE2,,Ethernet5/1,True
l3leaf,DC1-LEAF3A,,Ethernet53/1,spine,DC1-SPINE3,,Ethernet5/1,True
l3leaf,DC1-LEAF3B,,Ethernet49/1,mlag_peer,DC1-LEAF3A,,Ethernet49/1,True
l3leaf,DC1-LEAF3B,,Ethernet50/1,mlag_peer,DC1-LEAF3A,,Ethernet50/1,True
l3leaf,DC1-LEAF3B,,Ethernet51/1,spine,DC1-SPINE1,,Ethernet6/1,True
l3leaf,DC1-LEAF3B,,Ethernet52/1,spine,DC1-SPINE2,,Ethernet6/1,True
l3leaf,DC1-LEAF3B,,Ethernet53/1,spine,DC1-SPINE3,,Ethernet6/1,True
spine,DC1-SPINE1,,Ethernet1/1,l3leaf,DC1-LEAF1A,,Ethernet51/1,True
spine,DC1-SPINE1,,Ethernet2/1,l3leaf,DC1-LEAF1B,,Ethernet51/1,True
spine,DC1-SPINE1,,Ethernet3/1,l3leaf,DC1-LEAF2A,,Ethernet51/1,True
spine,DC1-SPINE1,,Ethernet4/1,l3leaf,DC1-LEAF2B,,Ethernet51/1,True
spine,DC1-SPINE1,,Ethernet5/1,l3leaf,DC1-LEAF3A,,Ethernet51/1,True
spine,DC1-SPINE1,,Ethernet6/1,l3leaf,DC1-LEAF3B,,Ethernet51/1,True
spine,DC1-SPINE2,,Ethernet1/1,l3leaf,DC1-LEAF1A,,Ethernet52/1,True
spine,DC1-SPINE2,,Ethernet2/1,l3leaf,DC1-LEAF1B,,Ethernet52/1,True
spine,DC1-SPINE2,,Ethernet3/1,l3leaf,DC1-LEAF2A,,Ethernet52/1,True
spine,DC1-SPINE2,,Ethernet4/1,l3leaf,DC1-LEAF2B,,Ethernet52/1,True
spine,DC1-SPINE2,,Ethernet5/1,l3leaf,DC1-LEAF3A,,Ethernet52/1,True
spine,DC1-SPINE2,,Ethernet6/1,l3leaf,DC1-LEAF3B,,Ethernet52/1,True
spine,DC1-SPINE3,,Ethernet1/1,l3leaf,DC1-LEAF1A,,Ethernet53/1,True
spine,DC1-SPINE3,,Ethernet2/1,l3leaf,DC1-LEAF1B,,Ethernet53/1,True
spine,DC1-SPINE3,,Ethernet3/1,l3leaf,DC1-LEAF2A,,Ethernet53/1,True
spine,DC1-SPINE3,,Ethernet4/1,l3leaf,DC1-LEAF2B,,Ethernet53/1,True
spine,DC1-SPINE3,,Ethernet5/1,l3leaf,DC1-LEAF3A,,Ethernet53/1,True
spine,DC1-SPINE3,,Ethernet6/1,l3leaf,DC1-LEAF3B,,Ethernet53/1,True
l3leaf,DC2-LEAF1A,,Ethernet1,server,DC2-HOST1,,Ethernet1,True
l3leaf,DC2-LEAF1A,,Ethernet49/1,mlag_peer,DC2-LEAF1B,,Ethernet49/1,True
l3leaf,DC2-LEAF1A,,Ethernet50/1,mlag_peer,DC2-LEAF1B,,Ethernet50/1,True
l3leaf,DC2-LEAF1A,,Ethernet51/1,spine,DC2-SPINE1,,Ethernet1/1,True
l3leaf,DC2-LEAF1A,,Ethernet52/1,spine,DC2-SPINE2,,Ethernet1/1,True
l3leaf,DC2-LEAF1A,,Ethernet53/1,spine,DC2-SPINE3,,Ethernet1/1,True
l3leaf,DC2-LEAF1B,,Ethernet1,server,DC2-HOST1,,Ethernet2,True
l3leaf,DC2-LEAF1B,,Ethernet49/1,mlag_peer,DC2-LEAF1A,,Ethernet49/1,True
l3leaf,DC2-LEAF1B,,Ethernet50/1,mlag_peer,DC2-LEAF1A,,Ethernet50/1,True
l3leaf,DC2-LEAF1B,,Ethernet51/1,spine,DC2-SPINE1,,Ethernet2/1,True
l3leaf,DC2-LEAF1B,,Ethernet52/1,spine,DC2-SPINE2,,Ethernet2/1,True
l3leaf,DC2-LEAF1B,,Ethernet53/1,spine,DC2-SPINE3,,Ethernet2/1,True
l3leaf,DC2-LEAF2A,,Ethernet1,server,DC2-HOST2,,Ethernet1,True
l3leaf,DC2-LEAF2A,,Ethernet49/1,mlag_peer,DC2-LEAF2B,,Ethernet49/1,True
l3leaf,DC2-LEAF2A,,Ethernet50/1,mlag_peer,DC2-LEAF2B,,Ethernet50/1,True
l3leaf,DC2-LEAF2A,,Ethernet51/1,spine,DC2-SPINE1,,Ethernet3/1,True
l3leaf,DC2-LEAF2A,,Ethernet52/1,spine,DC2-SPINE2,,Ethernet3/1,True
l3leaf,DC2-LEAF2A,,Ethernet53/1,spine,DC2-SPINE3,,Ethernet3/1,True
l3leaf,DC2-LEAF2B,,Ethernet1,server,DC2-HOST2,,Ethernet2,True
l3leaf,DC2-LEAF2B,,Ethernet49/1,mlag_peer,DC2-LEAF2A,,Ethernet49/1,True
l3leaf,DC2-LEAF2B,,Ethernet50/1,mlag_peer,DC2-LEAF2A,,Ethernet50/1,True
l3leaf,DC2-LEAF2B,,Ethernet51/1,spine,DC2-SPINE1,,Ethernet4/1,True
l3leaf,DC2-LEAF2B,,Ethernet52/1,spine,DC2-SPINE2,,Ethernet4/1,True
l3leaf,DC2-LEAF2B,,Ethernet53/1,spine,DC2-SPINE3,,Ethernet4/1,True
spine,DC2-SPINE1,,Ethernet1/1,l3leaf,DC2-LEAF1A,,Ethernet51/1,True
spine,DC2-SPINE1,,Ethernet2/1,l3leaf,DC2-LEAF1B,,Ethernet51/1,True
spine,DC2-SPINE1,,Ethernet3/1,l3leaf,DC2-LEAF2A,,Ethernet51/1,True
spine,DC2-SPINE1,,Ethernet4/1,l3leaf,DC2-LEAF2B,,Ethernet51/1,True
spine,DC2-SPINE2,,Ethernet1/1,l3leaf,DC2-LEAF1A,,Ethernet52/1,True
spine,DC2-SPINE2,,Ethernet2/1,l3leaf,DC2-LEAF1B,,Ethernet52/1,True
spine,DC2-SPINE2,,Ethernet3/1,l3leaf,DC2-LEAF2A,,Ethernet52/1,True
spine,DC2-SPINE2,,Ethernet4/1,l3leaf,DC2-LEAF2B,,Ethernet52/1,True
spine,DC2-SPINE3,,Ethernet1/1,l3leaf,DC2-LEAF1A,,Ethernet53/1,True
spine,DC2-SPINE3,,Ethernet2/1,l3leaf,DC2-LEAF1B,,Ethernet53/1,True
spine,DC2-SPINE3,,Ethernet3/1,l3leaf,DC2-LEAF2A,,Ethernet53/1,True
spine,DC2-SPINE3,,Ethernet4/1,l3leaf,DC2-LEAF2B,,Ethernet53/1,True
